村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Is the data available?,Start Year,End Year,Data
0001,太平店村志,男性人口 Male Population,No,n/a,n/a,n/a
0001,太平店村志,女性人口 Female Population,No,n/a,n/a,n/a
0001,太平店村志,流动人口/暂住人口 Migratory/Temporary Population,No,n/a,n/a,n/a
0001,太平店村志,出生人数 Number of Births,No,n/a,n/a,n/a
0001,太平店村志,自然出生率 Birth Rate (‰),No,n/a,n/a,n/a
0001,太平店村志,死亡人数 Number of Deaths,No,n/a,n/a,n/a
0001,太平店村志,死亡率 Death Rate (‰),No,n/a,n/a,n/a
0001,太平店村志,知识青年迁入 Educated Youth - Migration In,No,n/a,n/a,n/a
0001,太平店村志,知识青年迁出 Educated Youth - Migration Out,No,n/a,n/a,n/a
0001,太平店村志,农转非 (人数) Agricultural to Non-Agricultural Hukou / Change of Residency Status (number of people),No,n/a,n/a,n/a
0001,太平店村志,自然增长率 Natural Population Growth Rate (‰),No,n/a,n/a,n/a
0001,太平店村志,户数 Number of Households,No,n/a,n/a,n/a
0001,太平店村志,总人口 Total Population,No,n/a,n/a,n/a
0001,太平店村志,迁入 (户数) Migration In (number of households),No,n/a,n/a,n/a
0001,太平店村志,迁出 (户数) Migration Out (number of households),No,n/a,n/a,n/a
0001,太平店村志,迁入 (人数) Migration In (number of people),No,n/a,n/a,n/a
0001,太平店村志,迁出 (人数) Migration Out (number of people),No,n/a,n/a,n/a
0001,太平店村志,农转非 (户数) Agricultural to Non-Agricultural Hukou / Change of Residency Status (number of households),No,n/a,n/a,n/a
0002,叶店村志,户数 Number of Households,Yes,1949,1953,282
0002,叶店村志,户数 Number of Households,Yes,1980,1983,729
0002,叶店村志,男性人口 Male Population,Yes,1949,1953,578
0002,叶店村志,女性人口 Female Population,Yes,1949,1953,667
0002,叶店村志,总人口 Total Population,Yes,1949,1953,1245
0002,叶店村志,女性人口 Female Population,Yes,1980,1983,1277
0002,叶店村志,总人口 Total Population,Yes,1980,1983,2658
0002,叶店村志,流动人口/暂住人口 Migratory/Temporary Population,No,n/a,n/a,n/a
0002,叶店村志,出生人数 Number of Births,No,n/a,n/a,n/a
0002,叶店村志,自然出生率 Birth Rate (‰),No,n/a,n/a,n/a
0002,叶店村志,死亡人数 Number of Deaths,No,n/a,n/a,n/a
0002,叶店村志,死亡率 Death Rate (‰),No,n/a,n/a,n/a
0002,叶店村志,自然增长率 Natural Population Growth Rate (‰),No,n/a,n/a,n/a
0002,叶店村志,知识青年迁入 Educated Youth - Migration In,No,n/a,n/a,n/a
