村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Is the data available?,Start Year,End Year,Data
0001,太平店村志,入伍 Military Enlistment,No,n/a,n/a,n/a
0001,太平店村志,村民纠纷 Number of Civil Mediations,No,n/a,n/a,n/a
0001,太平店村志,刑事案件 Number of Reported Crimes,No,n/a,n/a,n/a
0001,太平店村志,共产党员 - 男 CCP Membership - Male,No,n/a,n/a,n/a
0001,太平店村志,共产党员 - 女 CCP Membership - Female,No,n/a,n/a,n/a
0001,太平店村志,共产党员 - 总 CCP Membership - Total,No,n/a,n/a,n/a
0001,太平店村志,共产党员 - 少数民族 CCP Membership - Ethnic Minorities,No,n/a,n/a,n/a
0001,太平店村志,新党员 - 男 New CCP Membership - Male,No,n/a,n/a,n/a
0001,太平店村志,新党员 - 女 New CCP Membership - Female,No,n/a,n/a,n/a
0001,太平店村志,新党员 - 总 New CCP Membership - Total,No,n/a,n/a,n/a
0001,太平店村志,新党员 - 少数民族 New CCP Membership - Ethnic Minorities,No,n/a,n/a,n/a
0001,太平店村志,阶级成分 - 贫下中农 (户数) Class Status - Poor and Lower Middle Peasant (number of households),No,n/a,n/a,n/a
0001,太平店村志,阶级成分 - 地主 (户数) Class Status - Landlord (number of households),No,n/a,n/a,n/a
0001,太平店村志,阶级成分 - 富农 (户数) Class Status - Rich Peasant (number of households),No,n/a,n/a,n/a
0001,太平店村志,阶级成分 - 中农 (户数) Class Status - Middle Peasant (number of households),No,n/a,n/a,n/a
0002,叶店村志,入伍 Military Enlistment,Yes,1949,2007,46
0002,叶店村志,村民纠纷 Number of Civil Mediations,No,n/a,n/a,n/a
0002,叶店村志,刑事案件 Number of Reported Crimes,No,n/a,n/a,n/a
0002,叶店村志,共产党员 - 少数民族 CCP Membership - Ethnic Minorities,No,n/a,n/a,n/a
0002,叶店村志,共产党员 - 男 CCP Membership - Male,No,n/a,n/a,n/a
0002,叶店村志,共产党员 - 女 CCP Membership - Female,No,n/a,n/a,n/a
0002,叶店村志,共产党员 - 总 CCP Membership - Total,No,n/a,n/a,n/a
0002,叶店村志,新党员 - 男 New CCP Membership - Male,No,n/a,n/a,n/a
0002,叶店村志,新党员 - 女 New CCP Membership - Female,No,n/a,n/a,n/a
0002,叶店村志,新党员 - 总 New CCP Membership - Total,No,n/a,n/a,n/a
0002,叶店村志,新党员 - 少数民族 New CCP Membership - Ethnic Minorities,No,n/a,n/a,n/a
0002,叶店村志,阶级成分 - 地主 (户数) Class Status - Landlord (number of households),No,n/a,n/a,n/a
0002,叶店村志,阶级成分 - 富农 (户数) Class Status - Rich Peasant (number of households),No,n/a,n/a,n/a
0002,叶店村志,阶级成分 - 中农 (户数) Class Status - Middle Peasant (number of households),No,n/a,n/a,n/a
