村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0001,太平店村志,Yes,1960,1968,250,在校生 Students in School,小学 Elementary School,,,,
0001,太平店村志,Yes,1969,1970,500,在校生 Students in School,小学 Elementary School,,,,
0001,太平店村志,Yes,1988,1991,350,在校生 Students in School,小学 Elementary School,,,,
0001,太平店村志,Yes,1991,1997,350,在校生 Students in School,小学 Elementary School,,,,
0001,太平店村志,Yes,1997,2003,300,在校生 Students in School,小学 Elementary School,,,,
0001,太平店村志,Yes,2003,2008,400,在校生 Students in School,小学 Elementary School,,,,
0001,太平店村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0001,太平店村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0001,太平店村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0001,太平店村志,Yes,1969,1970,22,老师 Teachers,小学 Elementary School,,,,
0001,太平店村志,Yes,1988,1991,16,老师 Teachers,小学 Elementary School,,,,
0001,太平店村志,Yes,1991,1997,15,老师 Teachers,小学 Elementary School,,,,
0001,太平店村志,Yes,1997,2003,15,老师 Teachers,小学 Elementary School,,,,
0001,太平店村志,Yes,2003,2008,14,老师 Teachers,小学 Elementary School,,,,
0001,太平店村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0001,太平店村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0001,太平店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0001,太平店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0001,太平店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0001,太平店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0001,太平店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0002,叶店村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0002,叶店村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0002,叶店村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0002,叶店村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0002,叶店村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0002,叶店村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0002,叶店村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0002,叶店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0002,叶店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0002,叶店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0002,叶店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0002,叶店村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0003,马鞭田村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0003,马鞭田村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0003,马鞭田村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0003,马鞭田村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0003,马鞭田村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0003,马鞭田村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0004,万秀村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0004,万秀村志,Yes,1951,1952,80,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1952,1953,110,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1953,1954,125,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1954,1955,148,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1955,1956,150,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1956,1957,156,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1957,1958,199,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1958,1959,237,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1959,1960,244,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1960,1961,246,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1961,1962,240,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1962,1963,281,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1963,1964,286,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1964,1965,288,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1965,1966,321,在校生 Students in School,小学 Elementary School,,,,
0004,万秀村志,Yes,1966,1967,323,在校生 Students in School,小学 Elementary School,,,,
