村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4
0001,太平店村志,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,
0001,太平店村志,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,
0001,太平店村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0001,太平店村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
0001,太平店村志,No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,
0001,太平店村志,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,
0001,太平店村志,No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,
0001,太平店村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0001,太平店村志,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,
0001,太平店村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,
0001,太平店村志,No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,
0001,太平店村志,No,n/a,n/a,n/a,户数 Number of Household,,,,
0001,太平店村志,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,
0001,太平店村志,No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,
0001,太平店村志,No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,
0001,太平店村志,No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,
0001,太平店村志,No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,
0001,太平店村志,No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,
0002,叶店村志,Yes,1949,1953,282,户数 Number of Household,,,,
0002,叶店村志,Yes,1980,1983,729,户数 Number of Household,,,,
0002,叶店村志,Yes,1949,1953,578,人口 Population,男性人口 Male Population,,,
0002,叶店村志,Yes,1949,1953,667,人口 Population,女性人口 Female Population,,,
0002,叶店村志,Yes,1949,1953,1245,人口 Population,总人口 Total Population,,,
0002,叶店村志,Yes,1980,1983,1277,人口 Population,女性人口 Female Population,,,
0002,叶店村志,Yes,1980,1983,2658,人口 Population,总人口 Total Population,,,
0002,叶店村志,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,
0002,叶店村志,No,n/a,n/a,n/a,出生人数 Number of Births,,,,
