村志代码 Gazetteer Code,村志书名 Gazetteer Title,old_Category,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0001,太平店村志,男性人口 Male Population,No,n/a,n/a,n/a,人口 Population,男性人口 Male Population,,,,
0001,太平店村志,女性人口 Female Population,No,n/a,n/a,n/a,人口 Population,女性人口 Female Population,,,,
0001,太平店村志,流动人口/暂住人口 Migratory/Temporary Population,No,n/a,n/a,n/a,流动人口/暂住人口 Migratory/Temporary Population,,,,,
0001,太平店村志,出生人数 Number of Births,No,n/a,n/a,n/a,出生人数 Number of Births,,,,,
0001,太平店村志,自然出生率 Birth Rate (‰),No,n/a,n/a,n/a,自然出生率 Birth Rate (‰),,,,,
0001,太平店村志,死亡人数 Number of Deaths,No,n/a,n/a,n/a,死亡人数 Number of Deaths,,,,,
0001,太平店村志,死亡率 Death Rate (‰),No,n/a,n/a,n/a,死亡率 Death Rate (‰),,,,,
0001,太平店村志,知识青年迁入 Educated Youth - Migration In,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,,
0001,太平店村志,知识青年迁出 Educated Youth - Migration Out,No,n/a,n/a,n/a,迁入 Migration In,,,知识青年 Educated Youth,,
0001,太平店村志,农转非 (人数) Agricultural to Non-Agricultural Hukou / Change of Residency Status (number of people),No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,人数 number of people,,
0001,太平店村志,自然增长率 Natural Population Growth Rate (‰),No,n/a,n/a,n/a,自然增长率 Natural Population Growth Rate (‰),,,,,
0001,太平店村志,户数 Number of Households,No,n/a,n/a,n/a,户数 Number of Household,,,,,
0001,太平店村志,总人口 Total Population,No,n/a,n/a,n/a,人口 Population,总人口 Total Population,,,,
0001,太平店村志,迁入 (户数) Migration In (number of households),No,n/a,n/a,n/a,迁入 Migration In,,,户数 number of households,,
0001,太平店村志,迁出 (户数) Migration Out (number of households),No,n/a,n/a,n/a,迁出 Migration Out,,,户数 number of households,,
0001,太平店村志,迁入 (人数) Migration In (number of people),No,n/a,n/a,n/a,迁入 Migration In,,,人数 number of people,,
0001,太平店村志,迁出 (人数) Migration Out (number of people),No,n/a,n/a,n/a,迁出 Migration Out,,人数 number of people,,,
0001,太平店村志,残疾人总数 Total Disabled Population,No,n/a,n/a,n/a,残疾人数 Disabled Population,,,,残疾人总数 Total Disabled Population,
0001,太平店村志,农转非 (户数) Agricultural to Non-Agricultural Hukou / Change of Residency Status (number of households),No,n/a,n/a,n/a,农转非 Agricultural to Non-Agricultural Hukou / Change of Residency Status,,,户数 number of households,,
0001,太平店村志,视力残疾 Blindness,No,n/a,n/a,n/a,残疾人数 Disabled Population,,,,视力残疾 Blindness,
0001,太平店村志,听力语言残疾 Hearing and Speech Disabilities,No,n/a,n/a,n/a,残疾人数 Disabled Population,,,,听力语言残疾 Hearing and Speech Disabilities,
0001,太平店村志,肢体残疾 Amputation and/or Paralysis,No,n/a,n/a,n/a,残疾人数 Disabled Population,,,,肢体残疾 Amputation and/or Paralysis,
0001,太平店村志,精神残疾 Mental Disabilities,No,n/a,n/a,n/a,残疾人数 Disabled Population,,,,精神残疾 Mental Disabilities,
